PredSIT,X,Y
1.7392278,-197569.57230176002,819835.9417561251
1.6706315,-172678.78618496459,819835.3181934822
1.6565726,-147788.05303839012,819834.7784340171
1.643068,-122897.36523151747,819834.3224937945
1.6717074,-98006.71513158413,819833.9503864264
1.6597701,-73116.09510394589,819833.6621229638
1.6021343,-48225.49751246895,819833.4577119818
1.5999825,-23334.91471991322,819833.337159628
1.587434,1555.6609117062696,819833.3004694434
1.5934706,26446.237020726774,819833.3476425256
1.5812161,51336.82124545789,819833.4786774633
1.5145648,76227.42122381063,819833.6935703707
1.5228988,101118.04459291053,819833.9923148308
1.5162117,126008.6989887292,819834.3749019821
1.4601123,150899.39204568762,819834.8413203877
1.5314842,175790.13139630048,819835.3915561989
1.4554024,200680.9246707637,819836.025592966
1.4845781,225571.7794966314,819836.7434118977
1.4957985,250462.70349835505,819837.5449915105
1.4367609,275353.7042969792,819838.430307956
1.4362717,300244.7895097318,819839.399334865
1.4370383,325135.96674965485,819840.4520433891
1.3776308,350027.24362516974,819841.5884020653
1.3708683,374918.62773980055,819842.8083770754
1.3053335,399810.1266917157,819844.1119320405
1.3134912,424701.74807337305,819845.4990280868
1.3409158,449593.49947113177,819846.9696238296
1.7813603,-496264.2664971514,794956.2388089184
1.7393323,-471372.33303332166,794954.6606601573
1.7640916,-446480.54383888055,794953.1634204468
1.7697784,-421588.89133744343,794951.7471344426
1.8283536,-396697.3679458176,794950.4118443651
1.8746024,-371805.9660744044,794949.1575900454
1.811925,-346914.67812757136,794947.98440892
1.8371035,-322023.4965039765,794946.892335903
1.8102167,-297132.41359701194,794945.8814035254
1.8329155,-272241.4217951847,794944.9516419405
1.8030494,-247350.5134824532,794944.1030788283
1.7591689,-222459.68103864486,794943.3357394936
1.7307522,-197568.9168398019,794942.649646764
1.687139,-172678.21325859177,794942.0448210839
1.6979147,-147787.56266466077,794941.52128044
1.6989452,-122896.95742503874,794941.0790404403
1.70233,-98006.3899044975,794940.7181142581
1.6440386,-73115.85246593613,794940.4385126241
1.6038457,-48225.33747076476,794940.2402438986
1.6011052,-23334.83727927327,794940.1233139051
1.5691586,1555.6557489749189,794940.0877261878
1.5854497,26446.149254776155,794940.133481804
1.5592437,51336.650878901826,794940.2605793674
1.5386722,76227.16826172176,794940.469015101
1.5346521,101117.70904282063,794940.7587827921
1.5444117,126008.28086062703,794941.1298738362
1.5072837,150898.89135202745,794941.5822771764
1.5369718,175789.54815199226,794942.115979362
1.4933256,200680.25889317784,794942.7309644511
1.502712,225571.0312055903,794943.4272141862
1.4632814,250461.8727161594,794944.2047078109
1.4788439,275352.79104837315,794945.0634221403
1.467394,300243.79382192955,794946.0033316384
1.4137484,325134.88865231426,794947.0244082906
1.3958373,350026.0831504347,794948.1266216533
1.3314786,374917.3849222562,794949.3099388925
1.2472557,399808.8015684302,794950.5743247789
1.2879753,424700.3406838376,794951.9197415432
1.2480743,449592.00985734403,794953.3461491459
1.287353,474483.8166712659,794954.853504974
1.2836188,499375.7687011321,794956.4417641084
1.7519594,-546046.8438861328,770066.0618907012
1.7715021,-521154.67871809576,770064.3760162912
1.7927567,-496262.67300022533,770062.7684486264
1.7920303,-471370.8191684823,770061.2392356402
1.794765,-446479.1096512916,770059.7884229611
1.8316262,-421587.5368698543,770058.4160537941
1.8644737,-396696.0932386389,770057.1221691245
1.8663077,-371804.77116563113,770055.9068074793
1.8387706,-346913.56305279845,770054.7700050918
1.8537866,-322022.46129642363,770053.7117957972
1.813089,-297131.4582875377,770052.73221116
1.8499271,-272240.54641224403,770051.83128035
1.8195326,-247349.71805212603,770051.0090302051
1.8093219,-222458.9655845989,770050.26548515
1.7134137,-197568.28138334287,770049.6006673604
1.7021254,-172677.65781864614,770049.0145966659
1.6785218,-147787.08725776407,770048.5072904568
1.6757512,-122896.56206534638,770048.0787638808
1.6573634,-98006.0746037682,770047.72902961
1.6899362,-73115.61723356102,770047.4580981435
1.651748,-48225.182313743935,770047.2659775274
1.6133955,-23334.762202225513,770047.1526734321
1.6030343,1555.6507438166848,770047.1181892623
1.6089592,26446.064167561108,770047.162526045
1.537822,51336.48571216171,770047.2856824248
1.5409889,76226.92302037323,770047.4876547948
1.4712145,101117.38373416335,770047.7684370899
1.4722377,126007.87549434359,770048.1280209882
1.5270776,150898.40594018303,770048.5663957829
1.5204148,175788.982709031,770049.083548411
1.4573722,200679.61343594568,770049.6794635147
1.4629618,225570.30575329324,770050.3541233111
1.4977729,250461.0672903984,770051.1075077471
1.4682938,275351.9056731409,770051.939594378
1.4186257,300242.8285236005,770052.8503584578
1.3878646,325133.843459627,770053.8397728029
1.3597894,350024.95809454453,770054.9078079986
1.2880517,374916.1800366898,770056.0544322063
1.2687768,399807.516889067,770057.2796112391
1.2907193,424698.97624901147,770058.5833086482
1.2773756,449590.56570772064,770059.9654855431
1.2806557,474482.2928499083,770061.4261006727
1.349521,499374.1652534879,770062.96511052
1.3874948,524266.19048914296,770064.5824692164
1.7775979,-570937.4016934268,745174.4289132198
1.7844585,-546045.1464970341,745172.7212879771
1.7738729,-521153.058357525,745171.0894127005
1.7728993,-496261.12971650047,745169.5333360629
1.7485584,-471369.3530076368,745168.0531044817
1.8122973,-446477.7206570374,745166.6487620949
1.8026223,-421586.22508360964,745165.3203507351
1.8301219,-396694.85869949753,745164.067910038
1.8379699,-371803.61391036987,745162.8914772704
1.8766816,-346912.48311588616,745161.791087487
1.8807522,-322021.4587100571,745160.7667735149
1.9195535,-297130.5330815615,745159.8185658018
1.8660861,-272239.69861419534,745158.9464925699
1.8278693,-247348.94768725062,745158.1505798331
1.7932091,-222458.27267583413,745157.4308512205
1.7422658,-197567.66595133088,745156.7873282485
1.7419953,-172677.11988167895,745156.2200299482
1.6862894,-147786.6268318638,745155.7289732958
1.6857172,-122896.17916420709,745155.3141728524
1.6852764,-98005.76923879459,745154.9756409946
1.6879883,-73115.38941382695,745154.7133877262
1.6559057,-48225.03204603144,745154.5274209447
1.627029,-23334.68949100454,745154.4177460754
1.5819867,1555.645896380589,745154.384366463
1.6660386,26445.981761613024,745154.4272830993
1.5713778,51336.32575015405,745154.54649466
1.5299338,76226.68550706189,745154.7419976045
1.4583597,101117.06867661694,745155.0137861465
1.4849266,126007.48290193535,745155.3618521852
1.4527016,150897.93582459816,745155.7861853888
1.4787472,175788.43508426292,745156.2867731157
1.4621114,200678.9883182834,745156.8636004487
1.4479836,225569.60316135123,745157.5166502576
1.5079962,250460.28724507883,745158.2459030631
1.4356143,275351.04819767247,745159.0513372049
1.4130862,300241.8936435111,745159.9329287153
1.373141,325132.8312027579,745160.8906512981
1.322658,350023.86849103513,745161.9244764715
1.2914733,374915.01311900583,745163.0343734603
1.3009526,399806.272691975,745164.2203091681
1.3263055,424697.65480959177,745165.4822483319
1.3403759,449589.1670653317,745166.8201532671
1.4099222,474480.8170462607,745168.2339841283
1.4011431,499372.61233260145,745169.7236988057
1.3949715,524264.56049730966,745171.2892528535
1.4276673,549156.6691057452,745172.9305995811
1.3854316,574048.9457152922,745174.6476900423
1.8374517,-595828.0404943454,720282.9836785436
1.7481021,-570935.6851108902,720281.2594178271
1.7110456,-546043.5043856185,720279.608349122
1.77228,-521151.4907662036,720278.0305216495
1.765434,-496259.6366920299,720276.5259824777
1.7378731,-471367.9345945066,720275.094776425
1.770438,-446476.3768975539,720273.7369462288
1.7789042,-421584.95601781335,720272.45253228
1.8072512,-396693.6643651724,720271.2415728444
1.8170364,-371802.4943431049,720270.1041040072
1.8826982,-346911.4383490418,720269.0401596703
1.8594648,-322020.488774722,720268.0497714803
1.8868316,-297129.63800660917,720267.1329689019
1.836615,-272238.87842628907,720266.2897792689
1.811938,-247348.20241078798,720265.5202276424
1.8312616,-222457.6023330037,720264.8243369292
1.7570821,-197567.07056206802,720264.2021278548
1.7466971,-172676.59946371007,720263.6536188998
1.7283034,-147786.1814006599,720263.1788263775
1.7357346,-122895.80873302632,720262.7777644487
1.6424425,-98005.47381864996,720262.4504450036
1.6279055,-73115.1690135145,720262.1968778092
1.6462988,-48224.88667209719,720262.0170703558
1.6216681,-23334.619147775597,720261.9110280129
1.5433941,1555.6412068120906,720261.8787539634
1.5895458,26445.902039386106,720261.9202491583
1.5583314,51336.17099764081,720262.0355123617
1.5633185,76226.45572886636,720262.2245401065
1.472862,101116.76387956794,720262.4873267686
1.5454757,126007.10309510362,720262.8238646047
1.4723958,150897.48101928039,720263.2341435783
1.4728874,175787.90529398594,720263.7181514653
1.4659672,200678.3835588088,720264.2758738657
1.4877038,225568.92345067376,720264.9072942222
1.4373932,250459.53260343545,720265.6123937313
1.4766394,275350.2186475153,720266.3911514111
1.4565276,300240.9892095186,720267.2435440792
1.4155719,325131.85191184946,720268.1695463476
1.4051044,350022.8143723876,720269.169130736
1.3993475,374913.8842039906,720270.2422674184
1.3860546,399805.0690142247,720271.3889244604
1.3823183,424696.37640493934,720272.6090677186
1.4737881,449587.81397188205,720273.9026608359
1.4588246,474479.38930437044,720275.2696653241
1.464544,499371.109984781,720276.7100403549
1.4409138,524262.98358838,720278.2237430869
1.4023023,549155.0176827116,720279.8107283169
1.3527665,574047.2198274118,720281.4709487596
1.4054396,598939.597573733,720283.2043549058
1.804548,-620718.7755590142,695391.7109646098
1.8255059,-595826.309834802,695389.975185788
1.8153566,-570934.0263640066,695388.3100400852
1.7723564,-546041.9176008536,695386.7155771569
1.8019243,-521149.97599089815,695385.1918445724
1.803946,-496258.19397129584,695383.7388876787
1.8180115,-471366.5639713979,695382.3567498851
1.7402658,-446475.07841287024,695381.0454723116
1.7702972,-421583.72971024906,695379.8050940282
1.841511,-396692.51027125545,695378.6356519668
1.7924461,-371801.41249719384,695377.5371809452
1.8307897,-346910.4287833472,695376.5097137055
1.8731555,-322019.5515193002,695375.5532808084
1.8850809,-297128.77308935666,695374.6679106945
1.8785338,-272238.08587294363,695373.8536297479
1.8764856,-247347.48224492566,695373.1104621514
1.8114902,-222456.95457604315,695372.4384300095
1.7614479,-197566.49523328827,695371.8375533862
1.7201105,-172676.09658021916,695371.3078500738
1.7304556,-147785.7509774158,695370.8493358425
1.755789,-122895.45078282362,695370.4620243338
1.6717916,-98005.18835213558,695370.1459270583
1.609994,-73114.95603917404,695369.901053423
1.6165134,-48224.74619626746,695369.7274106987
1.6497556,-23334.55117463239,695369.6250040497
1.6150556,1555.63667524963,695369.5938365302
1.5576975,26445.825003251906,695369.6339090263
1.5618967,51336.021459222386,695369.7452203821
1.536309,76226.23369261672,695369.9277673402
1.5023452,101116.46935208463,695370.1815443388
1.5379517,126006.7360851502,695370.5065439777
1.4709469,150897.0415377554,695370.902756462
1.5010827,175787.3933539694,695371.3701701281
1.4990845,200677.79917553024,695371.908771024
1.48252,225568.2666415008,695372.5185431114
1.4210556,250458.80338791068,695373.1994682997
1.4331748,275349.4170473346,695373.9515263207
1.4476905,300240.11524852656,695374.7746947756
1.4612719,325130.905616075,695375.6689492138
1.4399844,350021.79576998187,695376.6342630315
1.4287248,374912.79332528217,695377.6706074745
1.390096,399803.90589168796,695378.7779516918
1.4150754,424695.1410732082,695379.9562627261
1.4748429,449586.5064677419,695381.2055054704
1.4380976,474478.0096667605,695382.5256427611
1.446197,499369.6582548417,695383.9166352476
1.431499,524261.45980935264,695385.3784414863
1.390294,549153.4219000624,695386.9110179272
1.3806397,574045.5520887028,695388.5143188364
1.4058821,598937.8579287122,695390.1882964539
1.4847003,623830.3469647022,695391.9329008034
1.7300863,-645609.6221533841,670500.595537611
1.7937455,-620717.0359405915,670498.8533593854
1.7875379,-595824.6395698158,670497.1792548066
1.7649343,-570932.425502262,670495.5732737746
1.7583369,-546040.3861900917,670494.0354641875
1.75838,-521148.51407674525,670492.565871873
1.8016585,-496256.8015973563,670491.1645406294
1.7935008,-471365.24117913,670489.8315122289
1.7699425,-446473.82524168974,670488.5668263716
1.7409946,-421582.5461974597,670487.3705206838
1.7815742,-396691.3964521192,670486.2426308378
1.7733786,-371800.3684048636,670485.1831903612
1.8112532,-346909.4544488926,670484.1922308207
1.8828882,-322018.64697170403,670483.2697816647
1.8308748,-297127.9383555351,670482.4158703444
1.8335608,-272237.3209777471,670481.6305223375
1.844572,-247346.7872110837,670480.913760863
1.811515,-222456.3294242466,670480.2656073452
1.7315546,-197565.93998210144,670479.6860809913
1.7613009,-172675.61124617403,670479.175199109
1.6975087,-147785.335574928,670478.7329767791
1.7274565,-122895.10532424673,670478.3594272217
1.6581004,-98004.91284774049,670478.0545615245
1.6368561,-73114.75049715064,670477.8183887647
1.5939178,-48224.61062272065,670477.6509158945
1.5930829,-23334.485573595495,670477.5521479768
1.5868857,1555.6323018280302,670477.52208791
1.6044997,26445.750655500928,670477.5607365222
1.591014,51335.877139356184,670477.6680927997
1.5327071,76226.01940491558,670477.8441534444
1.5400528,101116.18510292933,670478.0889132699
1.543734,126006.38188297347,670478.402364958
1.4917321,150896.61739310637,670478.7844992665
1.5052652,175786.89927944986,670479.2353048061
1.5428872,200677.23518582652,670479.7547681503
1.4908432,225567.63275338677,670480.3428738605
1.5062782,250458.09962022505,670480.9996044544
1.471166,275348.6434210217,670481.7249404549
1.4238098,300239.27178659773,670482.5188602266
1.4864157,325129.99234361283,670483.3813401789
1.4983855,350020.8127141523,670484.3123546658
1.4520036,374911.7405153401,670485.3118759819
1.420791,399802.7833589897,670486.3798744159
1.4459739,424693.9488511589,670487.5163181312
1.529288,449585.2445918488,670488.7211733117
1.4790637,474476.6781745838,670489.9944040851
1.4537491,499368.257186053,670491.3359725515
1.4535475,524259.98920572124,670492.7458387719
1.4006023,549151.881805374,670494.2239606706
1.4279962,574043.9425488912,670495.770294234
1.4654558,598936.1789917632,670497.3847933781
1.4526181,623828.5986807029,670499.0674099333
1.4698399,648721.2091533367,670500.8180937374
