PredSIT,X,Y
1.4459641,126007.48290193535,745155.3618521852
1.4154198,150897.93582459816,745155.7861853888
1.4451437,175788.43508426292,745156.2867731157
1.47945,200678.9883182834,745156.8636004487
1.5012757,225569.60316135123,745157.5166502576
1.5018785,250460.28724507883,745158.2459030631
1.4738144,275351.04819767247,745159.0513372049
1.504932,300241.8936435111,745159.9329287153
1.5052513,325132.8312027579,745160.8906512981
1.4810833,350023.86849103513,745161.9244764715
1.4709754,374915.01311900583,745163.0343734603
1.5277394,399806.272691975,745164.2203091681
1.5275376,424697.65480959177,745165.4822483319
1.5408466,449589.1670653317,745166.8201532671
1.565701,474480.8170462607,745168.2339841283
1.5432898,499372.61233260145,745169.7236988057
1.5283782,524264.56049730966,745171.2892528535
1.4939678,549156.6691057452,745172.9305995811
1.50871,574048.9457152922,745174.6476900423
2.009989,-595828.0404943454,720282.9836785436
2.0057776,-570935.6851108902,720281.2594178271
1.9534796,-546043.5043856185,720279.608349122
1.9723188,-521151.4907662036,720278.0305216495
1.9516155,-496259.6366920299,720276.5259824777
1.9278104,-471367.9345945066,720275.094776425
1.8831695,-446476.3768975539,720273.7369462288
1.8480914,-421584.95601781335,720272.45253228
1.8647143,-396693.6643651724,720271.2415728444
1.8653505,-371802.4943431049,720270.1041040072
1.8195279,-346911.4383490418,720269.0401596703
1.7761223,-322020.488774722,720268.0497714803
1.7762636,-297129.63800660917,720267.1329689019
1.7321932,-272238.87842628907,720266.2897792689
1.7374175,-247348.20241078798,720265.5202276424
1.7285548,-222457.6023330037,720264.8243369292
1.7256465,-197567.07056206802,720264.2021278548
1.7075835,-172676.59946371007,720263.6536188998
1.7131675,-147786.1814006599,720263.1788263775
1.7038277,-122895.80873302632,720262.7777644487
1.7393202,-98005.47381864996,720262.4504450036
1.7517165,-73115.1690135145,720262.1968778092
1.720484,-48224.88667209719,720262.0170703558
1.7073894,-23334.619147775597,720261.9110280129
1.739821,1555.6412068120906,720261.8787539634
1.7092931,26445.902039386106,720261.9202491583
1.5979097,51336.17099764081,720262.0355123617
1.5149589,76226.45572886636,720262.2245401065
1.4551787,101116.76387956794,720262.4873267686
1.4565015,126007.10309510362,720262.8238646047
1.4403013,150897.48101928039,720263.2341435783
1.4357027,175787.90529398594,720263.7181514653
1.4642254,200678.3835588088,720264.2758738657
1.4889048,225568.92345067376,720264.9072942222
1.4961966,250459.53260343545,720265.6123937313
1.4892017,275350.2186475153,720266.3911514111
1.4937176,300240.9892095186,720267.2435440792
1.4976543,325131.85191184946,720268.1695463476
1.4849256,350022.8143723876,720269.169130736
1.4912271,374913.8842039906,720270.2422674184
1.4951123,399805.0690142247,720271.3889244604
