PredSIT,X,Y
1.6722503,-122898.21813585663,869621.5688347322
1.6684595,-98007.39532577325,869621.1743985278
1.6926994,-73116.60256772734,869620.8688374419
1.6745812,-48225.8322307269,869620.6521605302
1.6245862,-23335.076682671242,869620.5243742334
1.5459712,1555.671709271014,869620.4854823997
1.4882561,26446.420578292003,869620.5354861901
1.4664675,51337.177557556424,869620.6743840664
1.4639205,76227.9502798264,869620.9021719028
1.4482102,101118.74637708477,869621.2188429335
1.4183043,126009.57348015517,869621.6243877399
1.3948346,150900.43921830828,869622.1187941708
1.4081794,175791.35121891173,869622.7020475373
1.4109749,200682.31710702035,869623.3741304231
1.4509392,225573.3445050313,869624.1350228473
1.4624684,250464.44103225952,869624.9847020695
1.4818699,275355.61430460226,869625.9231427839
1.5019222,300246.87193413347,869626.9503169995
1.4851297,325138.22152871505,869628.0661940281
1.4868048,350029.6706916845,869629.2707406763
1.9193568,-421591.7281536753,844739.1453411294
1.8968905,-396700.0377109741,844737.7273610178
1.8442216,-371808.4687088765,844736.3954348112
1.7889478,-346917.0135566997,844735.1496021887
1.7541744,-322025.6646581539,844733.989900377
1.752192,-297134.4144115998,844732.9163638685
1.7624067,-272243.2552105598,844731.9290247668
1.7976173,-247352.179443985,844731.0279124783
1.7489088,-222461.17949667637,844730.213053813
1.6964716,-197570.24774969663,844729.484473115
1.6780369,-172679.3765807082,844728.8421921126
1.7074558,-147788.5583643426,844728.2862298738
1.7132744,-122897.78547263207,844727.8166030289
1.6931713,-98007.0502753375,844727.433325525
1.6975307,-73116.34514035849,844727.1364088298
1.6799133,-48225.66243409584,844726.9258617411
1.6385734,-23334.994521838504,844726.8016905665
1.5772473,1555.6662318583258,844726.763899003
1.4824618,26446.327462795918,844726.8124881438
1.4749871,51336.996806751435,844726.9474565564
1.476076,76227.68189910032,844727.1688002334
1.4332625,101118.39037443574,844727.4765125951
1.3900343,126009.1298661816,844727.870584403
1.4083371,150899.90800623706,844728.3510039849
1.4166797,175790.73242458064,844728.9177570542
1.4228399,200681.6107488619,844729.5708266064
1.4575955,225572.55060410645,844730.3101933099
1.4892256,250463.5596122312,844731.1358350404
1.4863483,275354.645391742,844732.047727209
1.5097787,300245.8155573364,844733.045842663
