(1): Hidden nodes: 1, bias: 0.10325664281845093, R^2: 0.6317168979022123, RMSE: 0.37088853120803833 
(2): Hidden nodes: 1, bias: 0.10340040922164917, R^2: 0.6317538242173648, RMSE: 0.3707047998905182 
(3): Hidden nodes: 1, bias: 0.10357969254255295, R^2: 0.6320890542230216, RMSE: 0.3707563877105713 

(1): Hidden nodes: 2, bias: 0.039568401873111725, R^2: 0.3603330180979373, RMSE: 0.42844510078430176 
(2): Hidden nodes: 2, bias: 0.039676159620285034, R^2: 0.3610112036402667, RMSE: 0.4281938672065735 
(3): Hidden nodes: 2, bias: 0.03963221237063408, R^2: 0.36059664519916174, RMSE: 0.42834287881851196 

(1): Hidden nodes: 3, bias: 0.005477587692439556, R^2: 0.33204096189208876, RMSE: 0.4374830722808838 
(2): Hidden nodes: 3, bias: 0.005563688464462757, R^2: 0.33235819738477174, RMSE: 0.43742597103118896 
(3): Hidden nodes: 3, bias: 0.00608109962195158, R^2: 0.33262442228768346, RMSE: 0.4373286962509155 

(1): Hidden nodes: 4, bias: 0.03967795893549919, R^2: 0.36029994947661637, RMSE: 0.4316916763782501 
(2): Hidden nodes: 4, bias: 0.039687760174274445, R^2: 0.35922383808814135, RMSE: 0.43215885758399963 
(3): Hidden nodes: 4, bias: 0.04010895639657974, R^2: 0.360109654546227, RMSE: 0.43176907300949097 

(1): Hidden nodes: 5, bias: -0.0474693588912487, R^2: 0.30901199843533017, RMSE: 0.4491797685623169 
(2): Hidden nodes: 5, bias: -0.04683579504489899, R^2: 0.30918330891427825, RMSE: 0.44907769560813904 
(3): Hidden nodes: 5, bias: -0.04742986336350441, R^2: 0.30920788600077276, RMSE: 0.4490009844303131 

(1): Hidden nodes: 6, bias: -0.041523780673742294, R^2: 0.3309496605265582, RMSE: 0.4378078579902649 
(2): Hidden nodes: 6, bias: -0.04378664866089821, R^2: 0.3230026563359961, RMSE: 0.440243124961853 
(3): Hidden nodes: 6, bias: -0.0420323871076107, R^2: 0.3300031472872626, RMSE: 0.43805626034736633 

(1): Hidden nodes: 7, bias: -0.0497269481420517, R^2: 0.246650714816789, RMSE: 0.4696875214576721 
(2): Hidden nodes: 7, bias: -0.04923150688409805, R^2: 0.24582868933647536, RMSE: 0.47005707025527954 
(3): Hidden nodes: 7, bias: -0.04883139953017235, R^2: 0.24563113334661588, RMSE: 0.4700414538383484 

(1): Hidden nodes: 8, bias: -0.03902968764305115, R^2: 0.27871201042262667, RMSE: 0.45789021253585815 
(2): Hidden nodes: 8, bias: -0.0397266261279583, R^2: 0.27970928680709384, RMSE: 0.4575841724872589 
(3): Hidden nodes: 8, bias: -0.03961046040058136, R^2: 0.2799340996388688, RMSE: 0.45753973722457886 

(1): Hidden nodes: 9, bias: -0.017969496548175812, R^2: 0.3223964131061548, RMSE: 0.4397525489330292 
(2): Hidden nodes: 9, bias: -0.018156640231609344, R^2: 0.3222094780439151, RMSE: 0.43988507986068726 
(3): Hidden nodes: 9, bias: -0.01804189197719097, R^2: 0.3235162923449013, RMSE: 0.43936172127723694 

(1): Hidden nodes: 10, bias: -0.021647606045007706, R^2: 0.3275094998625943, RMSE: 0.43742287158966064 
(2): Hidden nodes: 10, bias: -0.020515283569693565, R^2: 0.3249655877032338, RMSE: 0.43828779458999634 
(3): Hidden nodes: 10, bias: -0.02113223634660244, R^2: 0.3266964169802181, RMSE: 0.43781065940856934 
