(1): Hidden nodes: 1, bias: 0.05033627524971962, R^2: 0.3832347306392252, RMSE: 0.4198552072048187 
(2): Hidden nodes: 1, bias: 0.05874860659241676, R^2: 0.3829240210569101, RMSE: 0.42152079939842224 
(3): Hidden nodes: 1, bias: 0.040740109980106354, R^2: 0.3828909128403046, RMSE: 0.4184128940105438 

(1): Hidden nodes: 2, bias: 0.07026135176420212, R^2: 0.23522578264567398, RMSE: 0.48839038610458374 
(2): Hidden nodes: 2, bias: 0.02850412204861641, R^2: 0.22064071544696726, RMSE: 0.4879595637321472 
(3): Hidden nodes: 2, bias: 0.04836006835103035, R^2: 0.2253356689751127, RMSE: 0.48886537551879883 

(1): Hidden nodes: 3, bias: 0.036094971001148224, R^2: 0.2198083718474833, RMSE: 0.4792044460773468 
(2): Hidden nodes: 3, bias: 0.032434407621622086, R^2: 0.21667713516001724, RMSE: 0.4803948700428009 
(3): Hidden nodes: 3, bias: 0.07167530059814453, R^2: 0.22575121309685586, RMSE: 0.4823273718357086 

(1): Hidden nodes: 4, bias: 0.03195438161492348, R^2: 0.2429180841418359, RMSE: 0.47166210412979126 
(2): Hidden nodes: 4, bias: 0.07393103837966919, R^2: 0.22889068330052736, RMSE: 0.4810061454772949 
(3): Hidden nodes: 4, bias: 0.01612856052815914, R^2: 0.2639631427502079, RMSE: 0.46412429213523865 

(1): Hidden nodes: 5, bias: 0.04907800257205963, R^2: 0.18757835437901169, RMSE: 0.5098932981491089 
(2): Hidden nodes: 5, bias: 0.0482352115213871, R^2: 0.18473902159380182, RMSE: 0.5106461048126221 
(3): Hidden nodes: 5, bias: 0.0656924918293953, R^2: 0.1985660742739695, RMSE: 0.5092526078224182 

(1): Hidden nodes: 6, bias: 0.11358621716499329, R^2: 0.31213644325612744, RMSE: 0.47053009271621704 
(2): Hidden nodes: 6, bias: 0.020225031301379204, R^2: 0.2871007327481928, RMSE: 0.46218836307525635 
(3): Hidden nodes: 6, bias: -0.006812375038862228, R^2: 0.28004182222598584, RMSE: 0.4618165194988251 

(1): Hidden nodes: 7, bias: 0.051951050758361816, R^2: 0.11235217536735631, RMSE: 0.5445181131362915 
(2): Hidden nodes: 7, bias: 0.07964726537466049, R^2: 0.13401899669333694, RMSE: 0.5399154424667358 
(3): Hidden nodes: 7, bias: 0.08209727704524994, R^2: 0.1733416900443009, RMSE: 0.526039719581604 

(1): Hidden nodes: 8, bias: -0.08179941773414612, R^2: 0.12388369489301583, RMSE: 0.5400503873825073 
(2): Hidden nodes: 8, bias: 0.04144778475165367, R^2: 0.14764571806649554, RMSE: 0.5265451669692993 
(3): Hidden nodes: 8, bias: -0.023047680035233498, R^2: 0.12696446073881226, RMSE: 0.5308685302734375 

(1): Hidden nodes: 9, bias: 0.06659014523029327, R^2: 0.18430086828666, RMSE: 0.523423433303833 
(2): Hidden nodes: 9, bias: 0.0562000535428524, R^2: 0.17554913130719335, RMSE: 0.5243651270866394 
(3): Hidden nodes: 9, bias: 0.04804239049553871, R^2: 0.1698395888314977, RMSE: 0.5232462286949158 

(1): Hidden nodes: 10, bias: 0.0720142349600792, R^2: 0.1537467239835301, RMSE: 0.5436400771141052 
(2): Hidden nodes: 10, bias: 0.07151353359222412, R^2: 0.15636101212697656, RMSE: 0.5430492758750916 
(3): Hidden nodes: 10, bias: 0.07773472368717194, R^2: 0.1596724251952773, RMSE: 0.5425854921340942
