(1): Hidden nodes: 1, bias: 0.05014631897211075, R^2: 0.3862147560987481, RMSE: 0.41874513030052185 
(2): Hidden nodes: 1, bias: 0.0294790118932724, R^2: 0.38719087058584284, RMSE: 0.41554683446884155 
(3): Hidden nodes: 1, bias: 0.0494985356926918, R^2: 0.38607689118935595, RMSE: 0.4187008738517761 

(1): Hidden nodes: 2, bias: 0.07272255420684814, R^2: 0.3053526836717379, RMSE: 0.4575038254261017 
(2): Hidden nodes: 2, bias: 0.03037956915795803, R^2: 0.29935020624129105, RMSE: 0.4551675617694855 
(3): Hidden nodes: 2, bias: 0.01629028096795082, R^2: 0.29634301276085756, RMSE: 0.45550233125686646 

(1): Hidden nodes: 3, bias: 0.12922325730323792, R^2: 0.38254445217936944, RMSE: 0.44557875394821167 
(2): Hidden nodes: 3, bias: 0.08669458329677582, R^2: 0.4043350257662646, RMSE: 0.42402365803718567 
(3): Hidden nodes: 3, bias: 0.08609392493963242, R^2: 0.3940786916639089, RMSE: 0.42851880192756653 

(1): Hidden nodes: 4, bias: 0.012247731909155846, R^2: 0.25227632744185036, RMSE: 0.46547815203666687 
(2): Hidden nodes: 4, bias: 0.014391276985406876, R^2: 0.2523814196751154, RMSE: 0.46555349230766296 
(3): Hidden nodes: 4, bias: 0.001532598165795207, R^2: 0.24711686863457366, RMSE: 0.4669841527938843 

(1): Hidden nodes: 5, bias: -0.005424875766038895, R^2: 0.22532414152337762, RMSE: 0.48192131519317627 
(2): Hidden nodes: 5, bias: 0.04786692559719086, R^2: 0.23369042478195934, RMSE: 0.48061394691467285 
(3): Hidden nodes: 5, bias: 0.019280821084976196, R^2: 0.23226744918245884, RMSE: 0.47890204191207886 

(1): Hidden nodes: 6, bias: 0.08694425970315933, R^2: 0.1800663815771482, RMSE: 0.5292018055915833 
(2): Hidden nodes: 6, bias: 0.08238652348518372, R^2: 0.1813520226209748, RMSE: 0.5285028219223022 
(3): Hidden nodes: 6, bias: 0.07437452673912048, R^2: 0.17344436101639987, RMSE: 0.530481219291687 

(1): Hidden nodes: 7, bias: 0.077798992395401, R^2: 0.21157659845350357, RMSE: 0.515264630317688 
(2): Hidden nodes: 7, bias: 0.09954497218132019, R^2: 0.22369478257426, RMSE: 0.5230553150177002 
(3): Hidden nodes: 7, bias: 0.09723314642906189, R^2: 0.2231590083409029, RMSE: 0.5199633240699768 

(1): Hidden nodes: 8, bias: 0.05060354992747307, R^2: 0.19845619312492932, RMSE: 0.5251482129096985 
(2): Hidden nodes: 8, bias: 0.09385785460472107, R^2: 0.21348676463192526, RMSE: 0.5326364636421204 
(3): Hidden nodes: 8, bias: 0.08997754752635956, R^2: 0.20898253384957094, RMSE: 0.5311251878738403 

(1): Hidden nodes: 9, bias: 0.015076368115842342, R^2: 0.09640655662635661, RMSE: 0.5540908575057983 
(2): Hidden nodes: 9, bias: 0.11008565127849579, R^2: 0.11924879724052188, RMSE: 0.5631568431854248 
(3): Hidden nodes: 9, bias: 0.08892429620027542, R^2: 0.1467209265145218, RMSE: 0.5497164130210876 

(1): Hidden nodes: 10, bias: 0.0720217302441597, R^2: 0.22662471103047546, RMSE: 0.4952589273452759 
(2): Hidden nodes: 10, bias: -0.021977651864290237, R^2: 0.15573966078673934, RMSE: 0.5041122436523438 
(3): Hidden nodes: 10, bias: 0.010432539507746696, R^2: 0.2087731468698271, RMSE: 0.49010583758354187 
