(1): Hidden nodes: 1, bias: 0.05036034435033798, R^2: 0.3633561175540782, RMSE: 0.42721959948539734 
(2): Hidden nodes: 1, bias: 0.04267413914203644, R^2: 0.3640504467052819, RMSE: 0.4252304434776306 
(3): Hidden nodes: 1, bias: 0.04955270141363144, R^2: 0.3639051790580455, RMSE: 0.4267890155315399 

(1): Hidden nodes: 2, bias: 0.06826707720756531, R^2: 0.48377513929615823, RMSE: 0.3920362889766693 
(2): Hidden nodes: 2, bias: 0.07425937056541443, R^2: 0.4810447447814459, RMSE: 0.39540988206863403 
(3): Hidden nodes: 2, bias: 0.07108979672193527, R^2: 0.48212393299293665, RMSE: 0.3935975134372711 

(1): Hidden nodes: 3, bias: 0.04190211743116379, R^2: 0.23872366948836007, RMSE: 0.4802771210670471 
(2): Hidden nodes: 3, bias: 0.04197930172085762, R^2: 0.23751645275921535, RMSE: 0.4806094169616699 
(3): Hidden nodes: 3, bias: 0.04157751798629761, R^2: 0.23907694279394925, RMSE: 0.47999581694602966 

(1): Hidden nodes: 4, bias: 0.03897641599178314, R^2: 0.23571712955503246, RMSE: 0.47877928614616394 
(2): Hidden nodes: 4, bias: 0.03884093463420868, R^2: 0.22922445916500112, RMSE: 0.4809497594833374 
(3): Hidden nodes: 4, bias: 0.03877273201942444, R^2: 0.23005466960976453, RMSE: 0.4803796112537384 

(1): Hidden nodes: 5, bias: 0.047846533358097076, R^2: 0.2588604854176264, RMSE: 0.48184919357299805 
(2): Hidden nodes: 5, bias: 0.04210235923528671, R^2: 0.2510732427715978, RMSE: 0.48356303572654724 
(3): Hidden nodes: 5, bias: 0.043214306235313416, R^2: 0.2493336484388587, RMSE: 0.48496130108833313 

(1): Hidden nodes: 6, bias: 0.025812290608882904, R^2: 0.31225620279695776, RMSE: 0.45208966732025146 
(2): Hidden nodes: 6, bias: 0.021701417863368988, R^2: 0.2840222554622754, RMSE: 0.45893239974975586 
(3): Hidden nodes: 6, bias: 0.015070294961333275, R^2: 0.27682230261904384, RMSE: 0.45845797657966614 

(1): Hidden nodes: 7, bias: 0.046891991049051285, R^2: 0.20148366005749832, RMSE: 0.5092839002609253 
(2): Hidden nodes: 7, bias: 0.04547198861837387, R^2: 0.2043901199784463, RMSE: 0.5086657404899597 
(3): Hidden nodes: 7, bias: 0.05729002505540848, R^2: 0.19519901894128108, RMSE: 0.5126681327819824 

(1): Hidden nodes: 8, bias: 0.010542993433773518, R^2: 0.24931424427449236, RMSE: 0.47959157824516296 
(2): Hidden nodes: 8, bias: 0.00929454155266285, R^2: 0.25472235644029945, RMSE: 0.47769883275032043 
(3): Hidden nodes: 8, bias: 0.010837772861123085, R^2: 0.25657355478864347, RMSE: 0.47747179865837097 

(1): Hidden nodes: 9, bias: 0.06030643358826637, R^2: 0.16973876153633496, RMSE: 0.5341559648513794 
(2): Hidden nodes: 9, bias: 0.06761837005615234, R^2: 0.15163369446979286, RMSE: 0.5416027903556824 
(3): Hidden nodes: 9, bias: 0.071430504322052, R^2: 0.16552762019651227, RMSE: 0.5377138257026672 

(1): Hidden nodes: 10, bias: 0.030113765969872475, R^2: 0.2134471622513738, RMSE: 0.5073408484458923 
(2): Hidden nodes: 10, bias: 0.017554856836795807, R^2: 0.2207188144223018, RMSE: 0.5051015019416809 
(3): Hidden nodes: 10, bias: 0.020059363916516304, R^2: 0.2097748242259479, RMSE: 0.5074541568756104  
